TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.0
 Hypocentral depth in km:    5.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
       3.290       2.618       6.206       3.059       5.954
       3.300       2.620       6.208       3.061       5.958
       3.310       2.621       6.210       3.064       5.961
       3.320       2.622       6.212       3.066       5.964
       3.330       2.624       6.213       3.068       5.967
       3.340       2.625       6.215       3.071       5.970
       3.350       2.626       6.217       3.073       5.973
       3.360       2.628       6.218       3.075       5.976
       3.370       2.629       6.220       3.078       5.979
       3.380       2.631       6.222       3.080       5.983
       3.390       2.632       6.224       3.082       5.986
       3.400       2.633       6.225       3.085       5.989
       3.410       2.635       6.227       3.087       5.992
       3.420       2.636       6.229       3.090       5.995
       3.430       2.638       6.231       3.092       5.998
       3.440       2.639       6.232       3.094       6.001
       3.450       2.640       6.234       3.097       6.004
       3.460       2.642       6.236       3.099       6.008
       3.470       2.643       6.237       3.101       6.011
       3.480       2.645       6.239       3.104       6.014
       3.490       2.646       6.241       3.106       6.017
       3.500       2.647       6.243       3.109       6.020
       3.510       2.649       6.244       3.111       6.023
       3.520       2.650       6.246       3.113       6.026
       3.530       2.652       6.248       3.116       6.030
       3.540       2.653       6.250       3.118       6.033
       3.550       2.655       6.251       3.121       6.036
       3.560       2.656       6.253       3.123       6.039
       3.570       2.657       6.255       3.125       6.042
       3.580       2.659       6.256       3.128       6.045
       3.590       2.660       6.258       3.130       6.048
       3.600       2.662       6.260       3.133       6.051
       3.610       2.663       6.262       3.135       6.055
       3.620       2.665       6.263       3.137       6.058
       3.630       2.666       6.265       3.140       6.061
       3.640       2.667       6.267       3.142       6.064
       3.650       2.669       6.269       3.145       6.067
       3.660       2.670       6.270       3.147       6.070
       3.670       2.672       6.272       3.150       6.073
       3.680       2.673       6.274       3.152       6.076
       3.690       2.675       6.275       3.155       6.080
       3.700       2.676       6.277       3.157       6.083
       3.710       2.677       6.279       3.159       6.086
       3.720       2.679       6.281       3.162       6.089
